,Unnamed: 0,player,nationality,team,position,birth_year,games,games_starts,minutes,goals,assists,cards_yellow,cards_red,xg,xg_assist,progressive_carries_x,progressive_passes_x,progressive_passes_received_x,goals_per90,assists_per90,xg_per90,xg_assist_per90,gk_goals_against_per90,gk_save_pct,gk_clean_sheets_pct,gk_pens_save_pct,shots_on_target_pct,shots_on_target_per90,goals_per_shot,average_shot_distance,passes_completed,passes_pct,passes_total_distance,passes_pct_short,passes_pct_medium,passes_pct_long,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes_y,sca,sca_per90,gca,gca_per90,tackles,tackles_won,challenges,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,take_ons,take_ons_won,take_ons_tackled,carries,carries_progressive_distance,progressive_carries_y,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received_y,fouls,fouled,offsides,crosses,ball_recoveries,aerials_won,aerials_lost,aerials_won_pct,price,skill,pot,predicted_price
0,0,Aaron Ramsdale,14,16,6,27,27,27,2430.0,0,0,2,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,2.3,67.1,7.4,28.6,30.4,0.0,,16.15,715,64.6,20052,99.5,96.2,38.6,0,33,1,0,0,3,0.11,0,0.0,0,0,2,2,0,0,0,2,1189,860,1166,26,0,0,0,0,0,723,2159,0,0,0,3,0,646,0,1,4,0,0,20,5,0,100.0,18700000.0,67.3,71.5,17308746.245421246
1,1,Aaron Wan-Bissaka,14,18,0,28,33,32,2884.0,2,3,1,0,1.2,3.3,98,132,149,0.06,0.09,0.04,0.1,,,,,31.3,0.16,0.13,15.3,1320,80.5,18844,90.0,81.2,46.1,30,89,32,11,132,84,2.62,8,0.25,65,45,27,7,32,9,23,61,2037,136,627,876,564,43,105,56,37,959,3340,98,59,13,32,21,1170,149,22,25,4,70,163,22,30,42.3,26900000.0,74.4,75.0,32078147.52948201
2,2,Abdoulaye Doucouré,29,7,7,32,30,29,2425.0,3,1,5,1,3.9,2.3,40,78,91,0.11,0.04,0.14,0.09,,,,,31.0,0.33,0.1,13.8,676,79.6,10229,85.1,83.1,72.7,26,44,14,0,78,54,2.0,2,0.07,45,27,39,26,30,6,24,9,1090,31,218,502,385,59,43,23,20,571,1339,40,24,8,33,35,705,91,46,5,10,23,139,29,43,40.3,5800000.0,69.1,69.1,8245225.396825397
3,3,Adam Smith,14,2,0,34,22,17,1409.0,0,0,6,0,0.7,0.3,12,40,31,0.0,0.0,0.04,0.02,,,,,0.0,0.0,0.0,16.9,436,75.7,7088,88.0,78.1,37.5,7,41,8,5,40,20,1.28,2,0.13,21,10,25,13,12,5,7,14,707,39,217,332,162,6,15,6,6,305,585,12,15,0,10,6,333,31,15,11,0,30,43,12,13,48.0,1500000.0,68.5,68.7,4165864.2857142854
4,4,Adam Wharton,14,6,7,21,19,15,1258.0,0,2,2,0,0.3,3.0,14,105,10,0.0,0.14,0.02,0.21,,,,,41.7,0.36,0.0,25.8,521,75.6,9826,82.1,80.6,65.0,25,73,18,5,105,56,4.01,6,0.43,34,14,43,26,10,2,8,18,827,27,196,439,198,10,10,2,8,413,1021,14,22,2,14,13,509,10,12,21,0,35,96,7,16,30.4,48900000.0,68.1,81.3,37636118.520427406
5,5,Adama Traoré,15,8,5,29,33,16,1592.0,2,6,3,0,3.9,4.7,89,61,145,0.11,0.34,0.22,0.27,,,,,29.7,0.62,0.05,14.3,386,72.0,6023,81.4,73.4,55.1,38,32,33,18,61,76,4.3,9,0.51,17,12,13,8,7,0,7,1,737,4,75,260,424,88,93,47,35,490,2268,89,42,33,34,21,556,145,20,29,1,92,78,24,26,48.0,8000000.0,68.7,68.7,11296708.33333333
6,6,Alejandro Garnacho,0,13,9,21,34,23,2146.0,6,2,3,0,7.2,4.4,139,56,281,0.25,0.08,0.3,0.19,,,,,34.9,1.22,0.07,17.2,633,79.0,8888,88.5,82.9,59.2,35,21,24,4,56,81,3.4,6,0.25,29,18,36,24,19,0,19,13,1130,13,128,360,660,170,87,26,53,817,3172,139,72,66,63,48,862,281,12,41,10,52,108,3,23,11.5,60700000.0,70.9,87.1,58532627.731092446
7,7,Alex Iwobi,31,8,5,29,35,33,2796.0,9,6,1,0,4.6,6.9,135,199,224,0.29,0.19,0.15,0.22,,,,,44.4,0.9,0.14,18.2,1057,74.4,18132,85.8,77.7,53.8,56,107,78,17,199,115,3.7,16,0.52,39,23,30,11,25,1,24,13,1724,31,228,691,831,109,87,43,39,1218,4098,135,102,37,55,38,1345,224,17,17,5,120,126,6,31,16.2,30300000.0,76.3,76.3,38062102.76068871
8,8,Alex Palmer,14,9,6,29,11,11,990.0,0,0,2,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,2.45,58.7,0.0,0.0,30.4,0.0,,16.15,241,67.7,7340,95.8,100.0,43.8,1,7,0,0,1,2,0.18,0,0.0,0,0,0,0,0,0,0,0,400,334,393,8,0,0,0,0,0,180,604,0,0,0,1,0,132,0,1,2,0,0,15,4,0,100.0,1600000.0,64.4,67.5,7454424.206349207
9,9,Alexander Isak,40,14,3,26,32,32,2577.0,23,6,1,0,19.9,4.3,81,80,200,0.8,0.21,0.69,0.15,,,,,42.0,1.29,0.22,14.6,479,74.5,6849,83.8,77.4,63.2,41,33,26,1,80,89,3.11,14,0.49,12,5,13,8,18,2,16,3,960,20,55,361,558,178,88,42,44,574,1782,81,41,43,62,52,681,200,25,13,20,15,55,26,52,33.3,120300000.0,82.0,84.9,61221819.461697705
